mohono_i mohono_i RG 
trwom_ni trwy+prpers SPS000+PP1CPO00 
ar_ochr ar_ochr SPS000 
atynt_hwy at+prpers SPS000+PP3CPO00 
tuag_ataf tuag_at+prpers SPS000+PP1CSO00 
nesaf_ati nesaf_at+prpers SPS000+PP3FSO00 
nesaf_ato nesaf_at+prpers SPS000+PP3MSO00 
tuag_ataf_fi tuag_at+prpers SPS000+PP1CSO00 
tuag_atat tuag_at+prpers SPS000+PP2CSO00 
dani_hi dan+prpers SPS000+PP3FSO00 
ynot_ti yn+prpers SPS000+PP2CSO00 
wrthych_chi wrth+prpers SPS000+PP2CPO00 
slawer_dydd slawer_dydd RG 
tuag_atoch tuag_at+prpers SPS000+PP2CPO00 
fodd_bynnag fodd_bynnag RG 
ar_ei_ben_ei_hun ar_ei_ben_ei_hun RG 
rhagddi_hi rhag+prpers SPS000+PP3FSO00 
rhyngom_ni rhwng+prpers SPS000+PP1CPO00 
oddi_wrthyn_nhw oddi_wrth+prpers SPS000+PP3CPO00 
wrtha_i wrth+prpers SPS000+PP1CSO00 
rhyngddo_ef rhwng+prpers SPS000+PP3MSO00 
eitha'_debyg eitha'_debyg RG 
mhara[para,_pery] para VMIP3S0 
tuag_atom_ni tuag_at+prpers SPS000+PP1CPO00 
wedi_syfrdanom wedi_syfrdanu VMSP1P0 
fel_arfer fel_arfer RG 
ato_ef at+prpers SPS000+PP3MSO00 
yn_ôl_i yn_ôl_i RG 
ynom_ni yn+prpers SPS000+PP1CPO00 
danon_ni dan+prpers SPS000+PP1CPO00 
rhyngoch_chi rhwng+prpers SPS000+PP2CPO00 
rhagddon_ni rhag+prpers SPS000+PP1CPO00 
i'r_dde i'r_dde RG 
hebddynt_hwy heb+prpers SPS000+PP3CPO00 
nesaf_atoch nesaf_at+prpers SPS000+PP2CPO00 
cymaint_â cymaint_â RG 
ganddon_ni gan+prpers SPS000+PP1CPO00 
dro_ar_ôl_tro dro_ar_ôl_tro RG 
gennyf_fi gan+prpers SPS000+PP1CSO00 
rhyngddynt_hwy rhwng+prpers SPS000+PP3CPO00 
wedi_syfrdanant wedi_syfrdanu VMIP3P0 
fesul_un fesul_un RG 
ym_mhobman ym_mhobman RG 
ar_draul ar_draul RG 
drwyddo_fo trwy+prpers SPS000+PP3MSO00 drwy+prpers SPS000+PP3MSO00 
drwyddo_fe trwy+prpers SPS000+PP3MSO00 drwy+prpers SPS000+PP3MSO00 
danoch_chi dan+prpers SPS000+PP2CPO00 
erddo_fe er+prpers SPS000+PP3MSO00 
ynddo_ef yn+prpers SPS000+PP3MSO00 
erddo_fo er+prpers SPS000+PP3MSO00 
ar_ôl_y_cwbl ar_ôl_y_cwbl RG 
ar_eu_liwt_eu_hunain ar_eu_liwt_eu_hunain RG 
monyn_nhw monyn_nhw RG 
wedi_syfrdanais wedi_syfrdanu VMIS1S0 
fy_hunan fy_hun PP1CSN00 
wedi_syfrdanont wedi_syfrdanu VMSP3P0 
nesaf_ato_ef nesaf_at+prpers SPS000+PP3MSO00 
rhyngddo_fe rhwng+prpers SPS000+PP3MSO00 
dano_ef dan+prpers SPS000+PP3MSO00 
yn_fras yn_fras RG 
rhyngddo_fo rhwng+prpers SPS000+PP3MSO00 
ar_eich_pen_eich_hunan ar_eich_pen_eich_hun RG 
oddi_wrtho_i oddi_wrth+prpers SPS000+PP1CSO00 
ynddyn_nhw yn+prpers SPS000+PP3CPO00 
pa_rai pa_rai PT0CP000 
arnoch_chi ar+prpers SPS000+PP2CPO00 
